winloss,date,score,opponent,location,year,record,coach,conference
W,"Fri, September 10",41 - 13,North Texas,"Dallas, TX",1971,5-6 (0.455),Tommy Hudspeth,WAC
W,"Sat, September 18",54 - 14,Colorado St,"Provo, UT",1971,5-6 (0.455),Tommy Hudspeth,WAC
L,"Sat, September 25",7 - 23,Kansas St,"Manhattan, KS",1971,5-6 (0.455),Tommy Hudspeth,WAC
L,"Fri, October 1",0 - 14,New Mexico,"Provo, UT",1971,5-6 (0.455),Tommy Hudspeth,WAC
L,"Sat, October 9",7 - 29,Utah St,"Logan, UT",1971,5-6 (0.455),Tommy Hudspeth,WAC
W,"Sat, October 16",35 - 17,Wyoming,"Laramie, WY",1971,5-6 (0.455),Tommy Hudspeth,WAC
W,"Sat, October 23",25 - 7,Tulsa,"Tulsa, OK",1971,5-6 (0.455),Tommy Hudspeth,WAC
W,"Sat, October 30",16 - 0,UTEP,"El Paso, TX",1971,5-6 (0.455),Tommy Hudspeth,WAC
L,"Sat, November 6",13 - 38,Arizona St,"Tempe, AZ",1971,5-6 (0.455),Tommy Hudspeth,WAC
L,"Sat, November 13",14 - 27,Arizona,"Provo, UT",1971,5-6 (0.455),Tommy Hudspeth,WAC
L,"Sat, November 20",15 - 17,Utah,"Provo, UT",1971,5-6 (0.455),Tommy Hudspeth,WAC
W,"Sat, September 16",32 - 9,Kansas St,"Provo, UT",1972,7-4 (0.636),LaVell Edwards,WAC
L,"Sat, September 23",19 - 42,Utah St,"Provo, UT",1972,7-4 (0.636),LaVell Edwards,WAC
L,"Sat, September 30",3 - 29,Oregon St,"Corvallis, OR",1972,7-4 (0.636),LaVell Edwards,WAC
W,"Fri, October 6",38 - 27,Long Beach St,"Anaheim, CA",1972,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, October 14",21 - 14,UTEP,"Provo, UT",1972,7-4 (0.636),LaVell Edwards,WAC
L,"Sat, October 21",17 - 49,Arizona St,"Provo, UT",1972,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, October 28",44 - 8,Colorado St,"Fort Collins, CO",1972,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, November 4",33 - 14,Wyoming,"Provo, UT",1972,7-4 (0.636),LaVell Edwards,WAC
L,"Sat, November 11",7 - 21,Arizona,"Tucson, AZ",1972,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, November 18",16 - 7,Utah,"Salt Lake City, UT",1972,7-4 (0.636),LaVell Edwards,WAC
W,"Sat, November 25",21 - 7,New Mexico,"Albuquerque, NM",1972,7-4 (0.636),LaVell Edwards,WAC
L,"Sat, September 15",13 - 21,Colorado St,"Provo, UT",1973,5-6 (0.455),LaVell Edwards,WAC
W,"Sat, September 29",37 - 14,Oregon St,"Provo, UT",1973,5-6 (0.455),LaVell Edwards,WAC
L,"Sat, October 6",7 - 13,Utah St,"Logan, UT",1973,5-6 (0.455),LaVell Edwards,WAC
L,"Sat, October 13",24 - 26,Iowa St,"Provo, UT",1973,5-6 (0.455),LaVell Edwards,WAC
L,"Sat, October 20",12 - 52,Arizona St,"Tempe, AZ",1973,5-6 (0.455),LaVell Edwards,WAC
L,"Sat, October 27",21 - 41,Wyoming,"Laramie, WY",1973,5-6 (0.455),LaVell Edwards,WAC
W,"Sat, November 3",56 - 21,New Mexico,"Provo, UT",1973,5-6 (0.455),LaVell Edwards,WAC
L,"Sat, November 10",10 - 24,Arizona,"Provo, UT",1973,5-6 (0.455),LaVell Edwards,WAC
W,"Sat, November 17",45 - 14,Weber St,"Provo, UT",1973,5-6 (0.455),LaVell Edwards,WAC
W,"Sat, November 24",46 - 22,Utah,"Salt Lake City, UT",1973,5-6 (0.455),LaVell Edwards,WAC
W,"Sat, December 1",63 - 0,UTEP,"El Paso, TX",1973,5-6 (0.455),LaVell Edwards,WAC
L,"Sat, September 14",13 - 15,Hawai'i,"Honolulu, HI",1974,7-4-1 (0.583),LaVell Edwards,WAC
L,"Sat, September 21",6 - 9,Utah St,"Provo, UT",1974,7-4-1 (0.583),LaVell Edwards,WAC
L,"Sat, September 28",7 - 34,Iowa St,"Ames, IA",1974,7-4-1 (0.583),LaVell Edwards,WAC
T,"Sat, October 5",33 - 33,Colorado St,"Fort Collins, CO",1974,7-4-1 (0.583),LaVell Edwards,WAC
W,"Sat, October 12",38 - 7,Wyoming,"Provo, UT",1974,7-4-1 (0.583),LaVell Edwards,WAC
W,"Sat, October 19",45 - 21,UTEP,"Provo, UT",1974,7-4-1 (0.583),LaVell Edwards,WAC
W,"Sat, October 26",37 - 13,Arizona,"Tucson, AZ",1974,7-4-1 (0.583),LaVell Edwards,WAC
W,"Sat, November 2",12 - 10,Air Force,"Air Force Academy, CO",1974,7-4-1 (0.583),LaVell Edwards,WAC
W,"Sat, November 9",21 - 18,Arizona St,"Provo, UT",1974,7-4-1 (0.583),LaVell Edwards,WAC
W,"Sat, November 16",36 - 3,New Mexico,"Albuquerque, NM",1974,7-4-1 (0.583),LaVell Edwards,WAC
W,"Sat, November 23",48 - 20,Utah,"Provo, UT",1974,7-4-1 (0.583),LaVell Edwards,WAC
L,"Sat, December 28",6 - 16,Oklahoma St,"Fiesta Bowl - Tempe, AZ",1974,7-4-1 (0.583),LaVell Edwards,WAC
L,"Sat, September 13",21 - 23,Bowling Green,"Provo, UT",1975,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, September 20",17 - 21,Colorado St,"Fort Collins, CO",1975,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, September 27",0 - 20,Arizona St,"Tempe, AZ",1975,6-5 (0.546),LaVell Edwards,WAC
W,"Fri, October 3",16 - 15,New Mexico,"Provo, UT",1975,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, October 11",28 - 14,Air Force,"Provo, UT",1975,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, October 25",33 - 20,Wyoming,"Laramie, WY",1975,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, November 1",20 - 36,Arizona,"Provo, UT",1975,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, November 8",24 - 7,Utah St,"Logan, UT",1975,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, November 15",51 - 20,Utah,"Provo, UT",1975,6-5 (0.546),LaVell Edwards,WAC
W,"Sat, November 22",20 - 10,UTEP,"El Paso, TX",1975,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, November 29",14 - 42,Southern Miss,"Jackson, MS",1975,6-5 (0.546),LaVell Edwards,WAC
L,"Sat, September 11",3 - 13,Kansas St,"Manhattan, KS",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, September 18",42 - 18,Colorado St,"Provo, UT",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, September 25",23 - 16,Arizona,"Tucson, AZ",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, October 2",8 - 0,San Diego St,"Jack Murphy Stadium - San Diego, CA",1976,9-3 (0.750),LaVell Edwards,WAC
L,"Sat, October 9",29 - 34,Wyoming,"Provo, UT",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, October 16",63 - 19,Southern Miss,"Provo, UT",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, October 23",45 - 14,Utah St,"Provo, UT",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, October 30",43 - 21,Arizona St,"Provo, UT",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, November 6",40 - 27,UTEP,"Provo, UT",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, November 13",21 - 8,New Mexico,"Albuquerque, NM",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, November 20",34 - 12,Utah,"Salt Lake City, UT",1976,9-3 (0.750),LaVell Edwards,WAC
L,"Sat, December 18",21 - 49,Oklahoma St,"Tangerine Bowl - Orlando, FL",1976,9-3 (0.750),LaVell Edwards,WAC
W,"Sat, September 10",39 - 0,Kansas St,"Provo, UT",1977,9-2 (0.818),LaVell Edwards,WAC
W,"Sat, September 24",65 - 6,Utah St,"Logan, UT",1977,9-2 (0.818),LaVell Edwards,WAC
W,"Fri, September 30",54 - 19,New Mexico,"Provo, UT",1977,9-2 (0.818),LaVell Edwards,WAC
L,"Sat, October 8",19 - 24,Oregon St,"Corvallis, OR",1977,9-2 (0.818),LaVell Edwards,WAC
W,"Sat, October 15",63 - 17,Colorado St,"Fort Collins, CO",1977,9-2 (0.818),LaVell Edwards,WAC
W,"Sat, October 22",10 - 7,Wyoming,"Laramie, WY",1977,9-2 (0.818),LaVell Edwards,WAC
W,"Sat, October 29",34 - 14,Arizona,"Provo, UT",1977,9-2 (0.818),LaVell Edwards,WAC
W,"Sat, November 5",38 - 8,Utah,"Provo, UT",1977,9-2 (0.818),LaVell Edwards,WAC
L,"Sat, November 12",13 - 24,Arizona St,"Tempe, AZ",1977,9-2 (0.818),LaVell Edwards,WAC
W,"Sat, November 19",30 - 27,Long Beach St,"Provo, UT",1977,9-2 (0.818),LaVell Edwards,WAC
W,"Sat, November 26",68 - 19,UTEP,"El Paso, TX",1977,9-2 (0.818),LaVell Edwards,WAC
W,"Sat, September 9",10 - 6,Oregon St,"Corvallis, OR",1978,9-4 (0.692),LaVell Edwards,WAC
L,"Sat, September 16",17 - 24,Arizona St,"Tempe, AZ",1978,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, September 23",32 - 6,Colorado St,"Provo, UT",1978,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, September 30",27 - 23,New Mexico,"Albuquerque, NM",1978,9-4 (0.692),LaVell Edwards,WAC
L,"Sat, October 7",7 - 24,Utah St,"Provo, UT",1978,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, October 14",17 - 16,Oregon,"Eugene, OR",1978,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, October 21",44 - 0,UTEP,"Provo, UT",1978,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, November 4",48 - 14,Wyoming,"Provo, UT",1978,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, November 11",21 - 3,San Diego St,"Cougar Stadium - Provo, UT",1978,9-4 (0.692),LaVell Edwards,WAC
L,"Sat, November 18",22 - 23,Utah,"Salt Lake City, UT",1978,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, November 25",31 - 13,Hawai'i,"Honolulu, HI",1978,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, December 2",28 - 24,UNLV,"Yokohama, Japan",1978,9-4 (0.692),LaVell Edwards,WAC
L,"Fri, December 22",16 - 23,Navy,"Holiday Bowl (1) - San Diego, CA",1978,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, September 8",18 - 17,Texas A&M,"Houston, TX",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 8",18 - 17,Texas A&M,"Houston, TX",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 15",48 - 3,Weber St,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 15",48 - 3,Weber St,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 29",31 - 7,UTEP,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 29",31 - 7,UTEP,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Fri, October 5",38 - 15,Hawai'i,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Fri, October 5",38 - 15,Hawai'i,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 13",48 - 24,Utah St,"Logan, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 13",48 - 24,Utah St,"Logan, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 20",54 - 14,Wyoming,"Laramie, WY",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 20",54 - 14,Wyoming,"Laramie, WY",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 27",59 - 7,New Mexico,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 27",59 - 7,New Mexico,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 3",30 - 7,Colorado St,"Fort Collins, CO",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 3",30 - 7,Colorado St,"Fort Collins, CO",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 10",31 - 17,Long Beach St,"Long Beach, CA",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 10",31 - 17,Long Beach St,"Long Beach, CA",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 17",27 - 0,Utah,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 17",27 - 0,Utah,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 24",63 - 14,San Diego St,"Jack Murphy Stadium - San Diego, CA",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 24",63 - 14,San Diego St,"Jack Murphy Stadium - San Diego, CA",1979,11-1 (0.917),LaVell Edwards,WAC
L,"Fri, December 21",37 - 38,Indiana,"Holiday Bowl (1) - San Diego, CA",1979,11-1 (0.917),LaVell Edwards,WAC
L,"Fri, December 21",37 - 38,Indiana,"Holiday Bowl (1) - San Diego, CA",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 8",18 - 17,Texas A&M,"Houston, TX",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 8",18 - 17,Texas A&M,"Houston, TX",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 15",48 - 3,Weber St,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 15",48 - 3,Weber St,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 29",31 - 7,UTEP,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 29",31 - 7,UTEP,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Fri, October 5",38 - 15,Hawai'i,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Fri, October 5",38 - 15,Hawai'i,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 13",48 - 24,Utah St,"Logan, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 13",48 - 24,Utah St,"Logan, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 20",54 - 14,Wyoming,"Laramie, WY",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 20",54 - 14,Wyoming,"Laramie, WY",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 27",59 - 7,New Mexico,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 27",59 - 7,New Mexico,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 3",30 - 7,Colorado St,"Fort Collins, CO",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 3",30 - 7,Colorado St,"Fort Collins, CO",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 10",31 - 17,Long Beach St,"Long Beach, CA",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 10",31 - 17,Long Beach St,"Long Beach, CA",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 17",27 - 0,Utah,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 17",27 - 0,Utah,"Provo, UT",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 24",63 - 14,San Diego St,"Jack Murphy Stadium - San Diego, CA",1979,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 24",63 - 14,San Diego St,"Jack Murphy Stadium - San Diego, CA",1979,11-1 (0.917),LaVell Edwards,WAC
L,"Fri, December 21",37 - 38,Indiana,"Holiday Bowl (1) - San Diego, CA",1979,11-1 (0.917),LaVell Edwards,WAC
L,"Fri, December 21",37 - 38,Indiana,"Holiday Bowl (1) - San Diego, CA",1979,11-1 (0.917),LaVell Edwards,WAC
L,"Sat, September 6",21 - 25,New Mexico,"Albuquerque, NM",1980,12-1 (0.923),LaVell Edwards,WAC
L,"Sat, September 6",21 - 25,New Mexico,"Albuquerque, NM",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 13",35 - 11,San Diego St,"Cougar Stadium - Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 13",35 - 11,San Diego St,"Cougar Stadium - Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 20",28 - 3,Wisconsin,"Madison, WI",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 20",28 - 3,Wisconsin,"Madison, WI",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 27",41 - 25,Long Beach St,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 27",41 - 25,Long Beach St,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 11",52 - 17,Wyoming,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 11",52 - 17,Wyoming,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 18",70 - 46,Utah St,"Logan, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 18",70 - 46,Utah St,"Logan, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 25",34 - 7,Hawai'i,"Honolulu, HI",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 25",34 - 7,Hawai'i,"Honolulu, HI",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 1",83 - 7,UTEP,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 1",83 - 7,UTEP,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 8",41 - 23,North Texas,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 8",41 - 23,North Texas,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 15",45 - 14,Colorado St,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 15",45 - 14,Colorado St,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 22",56 - 6,Utah,"Salt Lake City, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 22",56 - 6,Utah,"Salt Lake City, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 29",54 - 14,UNLV,"Las Vegas, NV",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 29",54 - 14,UNLV,"Las Vegas, NV",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Fri, December 19",46 - 45,SMU,"Holiday Bowl (1) - San Diego, CA",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Fri, December 19",46 - 45,SMU,"Holiday Bowl (1) - San Diego, CA",1980,12-1 (0.923),LaVell Edwards,WAC
L,"Sat, September 6",21 - 25,New Mexico,"Albuquerque, NM",1980,12-1 (0.923),LaVell Edwards,WAC
L,"Sat, September 6",21 - 25,New Mexico,"Albuquerque, NM",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 13",35 - 11,San Diego St,"Cougar Stadium - Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 13",35 - 11,San Diego St,"Cougar Stadium - Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 20",28 - 3,Wisconsin,"Madison, WI",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 20",28 - 3,Wisconsin,"Madison, WI",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 27",41 - 25,Long Beach St,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 27",41 - 25,Long Beach St,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 11",52 - 17,Wyoming,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 11",52 - 17,Wyoming,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 18",70 - 46,Utah St,"Logan, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 18",70 - 46,Utah St,"Logan, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 25",34 - 7,Hawai'i,"Honolulu, HI",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, October 25",34 - 7,Hawai'i,"Honolulu, HI",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 1",83 - 7,UTEP,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 1",83 - 7,UTEP,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 8",41 - 23,North Texas,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 8",41 - 23,North Texas,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 15",45 - 14,Colorado St,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 15",45 - 14,Colorado St,"Provo, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 22",56 - 6,Utah,"Salt Lake City, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 22",56 - 6,Utah,"Salt Lake City, UT",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 29",54 - 14,UNLV,"Las Vegas, NV",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, November 29",54 - 14,UNLV,"Las Vegas, NV",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Fri, December 19",46 - 45,SMU,"Holiday Bowl (1) - San Diego, CA",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Fri, December 19",46 - 45,SMU,"Holiday Bowl (1) - San Diego, CA",1980,12-1 (0.923),LaVell Edwards,WAC
W,"Sat, September 5",31 - 8,Long Beach St,"Long Beach, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 5",31 - 8,Long Beach St,"Long Beach, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 12",45 - 21,Air Force,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 12",45 - 21,Air Force,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 19",65 - 8,UTEP,"El Paso, TX",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 19",65 - 8,UTEP,"El Paso, TX",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 26",41 - 20,Colorado,"Boulder, CO",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 26",41 - 20,Colorado,"Boulder, CO",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Fri, October 2",32 - 26,Utah St,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Fri, October 2",32 - 26,Utah St,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
L,"Sat, October 10",41 - 45,UNLV,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
L,"Sat, October 10",41 - 45,UNLV,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, October 17",27 - 7,San Diego St,"Jack Murphy Stadium - San Diego, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, October 17",27 - 7,San Diego St,"Jack Murphy Stadium - San Diego, CA",1981,11-2 (0.846),LaVell Edwards,WAC
L,"Sat, October 24",20 - 33,Wyoming,"Laramie, WY",1981,11-2 (0.846),LaVell Edwards,WAC
L,"Sat, October 24",20 - 33,Wyoming,"Laramie, WY",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, October 31",31 - 7,New Mexico,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, October 31",31 - 7,New Mexico,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 7",63 - 14,Colorado St,"Fort Collins, CO",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 7",63 - 14,Colorado St,"Fort Collins, CO",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 14",13 - 3,Hawai'i,"Honolulu, HI",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 14",13 - 3,Hawai'i,"Honolulu, HI",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 21",56 - 28,Utah,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 21",56 - 28,Utah,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Fri, December 18",38 - 36,Washington St,"Holiday Bowl (1) - San Diego, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Fri, December 18",38 - 36,Washington St,"Holiday Bowl (1) - San Diego, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 5",31 - 8,Long Beach St,"Long Beach, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 5",31 - 8,Long Beach St,"Long Beach, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 12",45 - 21,Air Force,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 12",45 - 21,Air Force,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 19",65 - 8,UTEP,"El Paso, TX",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 19",65 - 8,UTEP,"El Paso, TX",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 26",41 - 20,Colorado,"Boulder, CO",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, September 26",41 - 20,Colorado,"Boulder, CO",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Fri, October 2",32 - 26,Utah St,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Fri, October 2",32 - 26,Utah St,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
L,"Sat, October 10",41 - 45,UNLV,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
L,"Sat, October 10",41 - 45,UNLV,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, October 17",27 - 7,San Diego St,"Jack Murphy Stadium - San Diego, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, October 17",27 - 7,San Diego St,"Jack Murphy Stadium - San Diego, CA",1981,11-2 (0.846),LaVell Edwards,WAC
L,"Sat, October 24",20 - 33,Wyoming,"Laramie, WY",1981,11-2 (0.846),LaVell Edwards,WAC
L,"Sat, October 24",20 - 33,Wyoming,"Laramie, WY",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, October 31",31 - 7,New Mexico,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, October 31",31 - 7,New Mexico,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 7",63 - 14,Colorado St,"Fort Collins, CO",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 7",63 - 14,Colorado St,"Fort Collins, CO",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 14",13 - 3,Hawai'i,"Honolulu, HI",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 14",13 - 3,Hawai'i,"Honolulu, HI",1981,11-2 (0.846),LaVell Edwards,WAC
